step,dataset,number,method,psnr,ssim,lpips,num_GS
29999,horse,10,ours_v2,14.77026653289795,0.5988620519638062,0.37749239802360535,631285
29999,horse,10,ours_v3,13.787212371826172,0.5678251385688782,0.41186022758483887,630553
,,,,,,,
29999,horse,20,fisher,17.938587188720703,0.7229797840118408,0.24268129467964172,1059213
29999,horse,20,fps,17.192718505859375,0.7168489694595337,0.2508693337440491,902966
29999,horse,20,mani,15.98453140258789,0.6650344133377075,0.31453242897987366,1131567
29999,horse,20,ours,16.925199508666992,0.6997143030166626,0.26617640256881714,963455
29999,horse,20,ours_v3,17.3662052154541,0.7240912914276123,0.24099615216255188,939637
,,,,,,,
29999,horse,30,fisher,19.362213134765625,0.7769635319709778,0.19392278790473938,1223543
29999,horse,30,fps,19.951745986938477,0.7995639443397522,0.1588510423898697,1103335
29999,horse,30,mani,18.054075241088867,0.7430148124694824,0.23024669289588928,1233613
29999,horse,30,ours,17.993452072143555,0.7457150816917419,0.22686102986335754,1067175
,,,,,,,
29999,horse,50,fisher,21.569379806518555,0.840766429901123,0.1355830579996109,1225606
29999,horse,50,fps,22.221689224243164,0.8539723753929138,0.12122192978858948,1199737
29999,horse,50,mani,20.415176391601562,0.8187575340270996,0.15807472169399261,1340681
29999,horse,50,ours,20.994686126708984,0.8220114707946777,0.15183484554290771,1247085
,,,,,,,
29999,truck,10,fisher,14.556313514709473,0.4791162312030792,0.404601126909256,1534092
29999,truck,10,fps,16.542516708374023,0.5656875371932983,0.310831218957901,1162487
29999,truck,10,mani,15.723398208618164,0.5252776741981506,0.3559073209762573,1498172
29999,truck,10,ours,15.565507888793945,0.5150872468948364,0.3543529510498047,1204540
29999,truck,10,ours_v2,15.93823528289795,0.5267065167427063,0.34511303901672363,1242084
29999,truck,10,ours_v3,16.369226455688477,0.5438352823257446,0.329290509223938,1160715
,,,,,,,
29999,truck,20,fisher,17.840452194213867,0.6268877983093262,0.2609821856021881,1968770
29999,truck,20,fps,18.58975601196289,0.6645941138267517,0.21745754778385162,1695799
29999,truck,20,mani,17.814504623413086,0.6382952928543091,0.24907264113426208,2010112
29999,truck,20,ours,17.290729522705078,0.6070662140846252,0.2705592215061188,1833215
29999,truck,20,ours_v3,18.06983757019043,0.6445909738540649,0.23605123162269592,1967332
,,,,,,,
29999,truck,30,fisher,18.5040225982666,0.6635071635246277,0.23392042517662048,2231906
29999,truck,30,fps,19.595718383789062,0.7114457488059998,0.1841915100812912,2038517
29999,truck,30,mani,19.222517013549805,0.6986299157142639,0.19739283621311188,2172808
29999,truck,30,ours,19.014673233032227,0.6909071207046509,0.200994610786438,2233246
,,,,,,,
29999,truck,40,ours,19.577651977539062,0.7192077040672302,0.18597768247127533,2260219
,,,,,,,
29999,truck,50,fisher,19.900243759155273,0.7277976274490356,0.18409079313278198,2480970
29999,truck,50,fps,21.000965118408203,0.764033854007721,0.15543897449970245,2289535
29999,truck,50,mani,20.660993576049805,0.7576099038124084,0.15735720098018646,2410508
29999,truck,50,ours,19.913894653320312,0.7384166717529297,0.1812317669391632,2473932
